Individual,#,,PetalLength,PetalWidth,StyleMidWidth,StyleBasalWidth,PistiltLength,PistilWidth,CanalLength,
IT69,151,Dried,46.10,9.41,2.18,2.62,18.48,5.02,4.75,
IT69,152,Dried,48.01,10.34,2.79,3.39,19.53,4.80,4.86,
IT71,153,Dried,40.32,8.36,2.46,3.36,18.28,4.81,4.27,
IT71,154,Dried,37.98,9.52,2.36,3.26,18.32,5.04,5.06,
IT71,155,Dried,38.56,7.32,2.34,3.35,17.81,5.05,4.77,
IT71,156,Dried,38.82,9.46,2.24,3.24,17.21,5.52,4.56,
IT71,157,Dried,41.30,10.22,1.83,2.77,18.48,6.47,4.67,
IT79,158,Dried,30.05,7.61,1.34,2.17,20.82,6.00,4.07,
IT79,159,Dried,33.75,7.97,2.19,3.18,18.89,5.40,4.87,
IT79,160,Dried,34.17,7.21,1.19,2.28,18.76,4.73,3.64,
IT79,161,Dried,29.11,7.01,1.82,3.21,19.76,5.88,4.95,
IT79,162,Dried,32.86,10.07,1.81,2.44,19.09,6.78,4.69,
